comments_disabled; id; edge_media_to_caption; shortcode; edge_media_to_comment; taken_at_timestamp; dimension; edge_liked_by; owner; is_video
False; 2241659601959777646; studio.bauendahl studio.bauendahl Cassandra for @germanysnexttopmodel  #2020 by @heidiklum ⁣⁣and @prosieben ⁣⁣⁣⁣ ⁣⁣⁣⁣⁣⁣.⁣⁣⁣⁣⁣⁣ ⁣⁣⁣⁣⁣⁣.⁣⁣⁣⁣⁣⁣ ⁣⁣⁣⁣⁣⁣.⁣⁣⁣⁣⁣⁣ ⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣ ⁣⁣⁣⁣⁣⁣#gntm2020 #gntm #germanysnexttopmodel2020 #pro7 #staffel15 #neuestaffel ⁣#beautiful #blackandwhite ⁣⁣⁣⁣⁣ ⁣⁣⁣⁣⁣#portraitfestival #onestepatatime #oneplus #portraitart #cameras #ones #portraitcollective  #oneinamillion #portraitdrawing #oneshot #portraitcentral #portraitshoot #portraitkillers #oneway #oneofthosedays #womancrusheveryday #blackdress #fashionavenue #blackisbeautiful ⁣ ⁣⁣⁣⁣⁣ ⁣; B8b-Yf6J_Vu; 0; 1581446670; (1080, 1080); 343; 1585921565; False
False; 2241622306259003989; Ich wusste nicht, was ich hier darunter schreiben sollte, aber ich habe mir überlegt jetzt einfach irgendwas zu schreiben!:see-no-evil_monkey: Und voralem unter jedem Bild eine Frage zu GNTM und nebenbei zu stellen:hugging_face: Kommen wir zu diesem Bild! Das ist die wunderschöne Jacky!:smiling_face_with_3_hearts: Ganz neutral und wie immer hübsch:two_hearts: Ich denke Jacky wird es diese Woche meistern und super stark sein:smiling_face_with_heart-eyes: Sie müssen nackt (NACKT) auf einem Pferd posieren:face_blowing_a_kiss: Und im Wasser ein super Walk hinlegen! Ich bin mir zu 100 % sicher, dass Jacky in die nächste Runde kommt :growing_heart: Viel Spaß beim schauen, der Folge! Fast hätte ich meine Frage vergessen. Also: Wer ist eure Favoritin und welche Person könnt ihr gar nicht leiden? (Verratet aber nicht wenn du magst und wenn nicht magst) #Jacky #Jacky2020 #JackyGntm2020 #Jackyistdiegewinnerin2020 #neutral #Frage #neuefolge #Germanysnexttopmodel #Gntm2020 #Gntm #Heidiklum #Wasser #Pferd #nackt #hübsche #beauty #Favoritin #beste #maribel #:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:; B8b15xlKOpV; 0; 1581442224; (640, 640); 10; 29806457714; False
False; 2241617891343145842; Wow! Jacky hat Rankin und Heidi beim Shooting voll überzeugt!:smiling_face_with_3_hearts: Und mich auch!Hihihi:face_with_tears_of_joy: Findet ihr sie hat den Walk gemeistert? Und denkt ihr Jacky ist nächste Woche auch super?:smiling_face_with_3_hearts::tired_face: #Jacky #Jaqueline #Jacky2020 #Gntm2020 #Dasistgermanysnexttopmodel2020 #Model #Topmodel #Walk #Maribel #Wow #hübsche #Beauty #Schönheit #Hashtag #Favoritin #:smiling_face_with_heart-eyes: #:red_heart::smiling_face_with_heart-eyes: #:heart_with_arrow: #:growing_heart: #:rainbow:; B8b05h3qxty; 0; 1581441697; (640, 640); 5; 29806457714; False
False; 2241615851862216647; Hello und willkommen zu meiner @sarahs.gntm2020.official fanpage ich hoffe sie wird euch gefallen :revolving_hearts::revolving_hearts: btw the Light be hitting different #sarahsgntm #gntm2020 #gntm; B8b0b2dIc_H; 0; 1581441454; (640, 640); 7; 8597093077; False
False; 2241611183667290717; Chilling at the beach :desert_island::hibiscus: • Ich bin ein absoluter Sommer Mensch deshalb genieße ich es hier in Costa Rica total :smiling_face_with_3_hearts: • Noch zweimal schlafen dann heißt es wieder #GNTM2020 das nächste Shooting wird ...:bikini::cross_mark::face_with_hand_over_mouth: #GNTM; B8bzX63CCJd; 18; 1581440898; (1148, 1080); 777; 20532617834; False
False; 2241586900075019582; Eine Frage vorab: Was mögt ihr besonders gerne an euch?  In den letzten Tagen habe ich viele Nachrichten von Mädchen bekommen, die sich unsicher sind, ob sie meinen Workshop besuchen können  und von sich selbst sagen, sie seien nicht selbstbewusst genug.  Ich möchte mich gerne an alle Mädels da draußen wenden, die sich nicht trauen. Ihr braucht euch keinerlei Gedanken zu machen! :black_heart:  Bei meinem Workshop wird niemand schief angeschaut oder verurteilt. Alle sind dort um etwas zu lernen und ich bin sehr gerne dafür da euer Selbstbewusstsein hervorzurufen.  Selbstbewusstsein ist eine Sache die man erlernen kann. Es gibt ganz einfache Übungen hierzu und je bewusster und glücklicher man sein Leben lebt, desto selbstbewusster wird man auch.  Übrigens: Selbstbewusstsein hat nichts mit Äußerlichkeiten zutun, sondern ist etwas tiefgründiges und eine Sache die von innen heraus kommt :black_heart:. _______________________________________ Foto: @dennisrethers make-up: @pure_academy_  Model: @littlevolcanoa #selbstbewusstsein #selbstbewusstwerden #selbstbewusstseincoaching #model #modelwerden #modeling #modelnrw #modelköln #modeldüsseldorf #modelberlin #modelmünchen #modelagency #modelagentur #glück #glücklichsein #confidence #modelcoaching #modelcoachingbymiriam #modelcoach #laufstegtraining #laufstegcoach #modelcoachdeutschland #modelcoachgermany #modelcoachmiriam #nrw #gntm #gntm2020 #ichbingntm2020; B8bt2jAI_0-; 3; 1581438003; (1080, 1080); 27; 19623440325; False
False; 2241586047086839464; Das ist das wunderschöne Foto von @maribel_gntm2020_official und @jacky.gntm2020.official :growing_heart: • • • • • • Wer ist eure Favoritin? #gntm2020 #teammaribel #teamjacky; B8btqImFUao; 0; 1581437901; (1080, 1080); 0; 29677843512; False
False; 2241578665246765185; Da euch das letzte Bild so gut gefallen hat, hier gleich das nächste mit @cellis__  #bavariangirl #munich #augsburg #bavaria #bavarianbeauties #bavariancouture #outfitoftheday #outfitinspiration #model #cozystreetwear #portraitsquad #portraitphotography #portraitmood #portraitgermany #portraitoftheday #portraits #blonde #gntm2020 #bathtub #healthy #beautyblogger #glittermakeup #featureyourportraits @portrait_global #realtgoa; B8br-tuILCB; 2; 1581437021; (1350, 1080); 94; 7991276185; False
False; 2241571283297310797; meine Prinzessin :love_letter::love_letter::red_heart: #gntm2020; B8bqTSvpxhN; 0; 1581436141; (1080, 1080); 13; 29353663354; False
False; 2241561110840905040; liebe meine Roommates :sparkles: Wer denkt ihr schnarcht am lautesten? :face_with_tears_of_joy: @julia.gntm2020.official @anastasia.gntm2020.official :white_heart::rabbit_face: :camera_with_flash: by zuckerpuppe  @nadine.gntm2020.official :sparkling_heart: #gntm #gntm2020 #grunge #alternative #friends #bff #outfits #fun; B8bn_Q6AI1Q; 125; 1581434929; (1330, 1080); 10367; 20332822207; False
