comments_disabled; id; edge_media_to_caption; shortcode; edge_media_to_comment; taken_at_timestamp; dimension; edge_liked_by; owner; is_video
False; 1337914085169303935; #Berlin #griebnitzsee; BKROcWaghF_; 0; 1473711809; (1080, 1080); 44; 49274397; False
False; 1337614696890701223; #fahrradtour #potsdam #berlin #griebnitzsee #meandmybike #muschelnsammeln #muscheln #strand #summerfeeling #feelingfree #lovelife  #naturelovers #wanderlust #frischeluft; BKQKXrWgxWn; 3; 1473676119; (719, 1080); 78; 2154682081; False
False; 1337600321401013614; Happy Monday!! I've got a ton of work to do this week but we're starting off with an open water swim and some sunbathing by the lake - got to make the most of summer while it lasts!! #swimming #swimbikerun #openwaterswimming #lakebody2016 #griebnitzsee #workhardplayhard #fitness #thesweatlife #lovinglife #lovenature #loveswimming #berlin #onelifeliveit; BKQHGfIjkVu; 2; 1473674405; (1080, 1080); 62; 329070834; False
False; 1337231817451504749; Einmal in die Wannseeinsel #wannsee #pfaueninsel #sub #griebnitzsee #schlossbabelsberg; BKOzUDFjARt; 0; 1473630476; (750, 750); 10; 1570762757; False
False; 1337172396855175608; SUP YOGA #yoga_in_potsdam  #griebnitzsee  #SupYogaPotsdam  #pedalespotsdam #potsdam; BKOlzXWAqm4; 0; 1473623393; (1080, 1080); 11; 2422616534; False
False; 1337018853268385368; Die Seen von West-Berlin  #niederneuendorfersee #heiligensee #tegelersee #großermalchsee #hermsdorferwaldsee #hermsdorfersee #ziegeleisee #schäfersee #plötzensee #Stössensee #pichelSee #griemnitzsee #großglienickersee #teufelssee #lietzensee #halensee #königssee #dianasee #Hertha-See #Hubertussee #hundekehlsee #grunewaldsee #krummelanke #schlachtensee #waldsee #nikolassee #jungfernsee #griebnitzsee  #kleinerwannsee #großerwannsee (Jürgen Becker: Eine Zeit ohne Wörter); BKOC5AvD-5Y; 1; 1473605089; (1080, 1080); 6; 3526027687; False
False; 1336973116160734947; #griebnitzsee #potsdam #freiesufer #brandenburg #endofsummer #flagge #reflektion #flagge :person_rowing_boat:; BKN4fcvAfbj; 0; 1473599637; (1054, 1080); 48; 17656877; False
False; 1336474871290690104; Evening kayak tour around Potsdam :sun::person_rowing_boat_light_skin_tone:; BKMHNCChHo4; 3; 1473540241; (1080, 1080); 51; 891702065; False
False; 1336353291386312683; Abendstimmung #griebnitzsee #berlin; BKLrjz7gVfr; 0; 1473525748; (1080, 1080); 10; 1643821440; False
False; 1336320611441923980; My goal for the #sup #summer2016 = #handstand !!!! #nearlythere #supyoga #yogazirkel #griebnitzsee @pedales23 @yogazirkel; BKLkIQXB1eM; 1; 1473521852; (1080, 1080); 30; 1715238007; False
False; 1336219313002179704; #paddling#Freunde#Pdm#Potsdam#Griebnitzsee#Frenne#Vinne#paddeln; BKLNGK1gux4; 0; 1473509776; (1349, 1080); 70; 2960078631; False
False; 1334954402863128847; Never ending summer ♡ #griebnitzsee #quark-orange #lieblingseis #sundown #naturelovers #boot #huckleberry #evergreen #neverendingsummer; BKGtfTeACEP; 5; 1473358987; (851, 1080); 66; 2154682081; False
False; 1334053290313185030; Allet Baustelle! #griebnitzsee #vbb #baustelle #bagger #züge #bahnhof #inprogress #cityscape #romantik; BKDgmZAjvcG; 0; 1473251566; (1080, 1080); 12; 215723624; False
False; 1333449722081614336; Hello friends! :lady_beetle: @miarbiar @unipotsdam @fsr_wiwi_uni_potsdam #unipotsdam #griebnitzsee #rotkäppchen #summer #sun #friends #fsrlove; BKBXXUShJoA; 2; 1473179615; (421, 750); 21; 209889697; True
False; 1333384580916554273; Das Leben ist wie Fahrrad fahren. Man muss immer in Bewegung bleiben, um die Balance zu halten.  #fahrradfahren #immeramwasserentlang #loveit #feelingfree #lovelyafternoon #sunshine #view #naturelovers #frischeluft #wanderlust #griebnitzsee #berlin #wannsee #boot; BKBIjY2g6oh; 4; 1473171850; (608, 1080); 75; 2154682081; False
False; 1332052315095439011; heute 38 km auf dem #mauerweg von #griebnitzsee nach #spandau unterwegs, ich mit dem Rad und meine Frau als Läufer!  Foto stammt aus dem Schlosspark Groß Glienicke!; BJ8ZoXngBaj; 0; 1473013031; (934, 1080); 9; 3250869309; False
False; 1331679108651970470; #trumanvilla #griebnitzsee #potsdam #potsdamcity #igerspotsdam #igersgermany #igersunterwegs #photography #photographer #instaphotography #neverstopexploring #canon #canoneos #withcanonyoucan #photooftheday Check also my blogpage www.juliastumm.com. Link in bio; BJ7ExgCAm-m; 1; 1472968542; (1080, 1080); 16; 19648961; False
False; 1331129120851223139; #Griebnitzsee #Potsdam #Germany #Deutschland #Germania; BJ5HuH-g-Jj; 0; 1472902978; (1080, 1080); 6; 503955754; False
